a_km,e_osc,i_deg,raan_deg,u_deg,r_km,v_kms,period_min,hx,hy,hz,norad,object_id,rcs_m2,d_eq_cm,perigee_cat_km,apogee_cat_km,gp_epoch,age_days,mean_motion,mean_e,mean_i,mean_raan,mean_argp,mean_M
7209.918515215369,0.0057122063920412155,98.97109537420177,320.9075252514979,167.59116233914386,7229.6363420896705,7.415082538420815,101.54423328771416,-0.6228601494455271,-0.7666349479883829,-0.15593617526265344,30756,1999-025ATS,0.0083,10.280023453913834,776.0,877.0,2026-09-01T04:51:59.148288,0.79723208,14.19650542,0.00701378,98.9762,320.0972,288.1919,127.8215
7105.43245481605,0.0025484764353477943,98.61034528475506,345.5321965241313,181.87425159785633,7117.856967003394,7.476773509494064,99.34488311362162,-0.24702011859249826,-0.9573749621210672,-0.14971387014646753,30768,1999-025AUE,0.0095,10.998079684646791,705.0,738.0,2026-09-01T13:49:00.429024,0.42430059000000003,14.51383711,0.00232636,98.6159,345.0979,24.2265,101.7565
7193.2106745812025,0.00585101402293979,98.67386548200433,342.1699463996438,146.50156771954425,7152.319338565533,7.486457504998818,101.19146891345034,-0.3026926711073905,-0.9410810353256754,-0.15080991946230793,30820,1999-025AVE,0.0103,11.451797811161432,776.0,853.0,2026-09-01T05:03:00.813312,0.78957392,14.23248132,0.00530121,98.676,341.3867,147.1516,275.9885
7118.683741308665,0.0036482634509151335,99.32583998733456,87.48885964789453,245.69589282385783,7105.938833270313,7.496293406203892,99.6229227198906,0.9858351476615239,-0.04323454079989582,-0.16204886953324735,30846,1999-025AWG,0.0102,11.396070970426019,712.0,786.0,2026-09-01T20:06:02.643840,0.16246939999999999,14.42771023,0.00519803,99.3219,87.3159,285.5093,197.1251
7185.887833387918,0.004322431372936283,98.88619080768534,327.6132464434309,0.7709419949073532,7206.141672606003,7.4268488212662485,101.036985651163,-0.5292024580577437,-0.8343159334848665,-0.1544722677988444,30860,1999-025AWW,0.0088,10.585134856802455,773.0,830.0,2026-09-01T22:18:49.011552,0.07026607,14.27039479,0.00397019,98.8918,327.542,146.8868,213.4809
7139.9582164016065,0.0034796068149872024,99.16067296578721,321.15443330129045,187.9824356339667,7163.1731684848855,7.447473680538254,100.06984693534451,-0.6192236620745978,-0.7689058929375563,-0.15920359334143078,30872,1999-025AXJ,0.0061,8.812923024107548,727.0,785.0,2026-09-01T00:22:34.078080,0.9843278,14.40747274,0.0041219,99.1663,320.102,339.5326,146.0611
7226.917090627589,0.0029488925365011727,98.72802248718365,244.44517417201376,315.9306718351573,7217.950424840055,7.435859837293813,101.90355585842296,-0.8917255663603977,0.42637916700608,-0.15174425933928906,30878,1999-025AXQ,0.0107,11.67204486311899,823.0,880.0,2026-09-01T11:19:58.202688,0.52779858,14.12360981,0.0039055,98.7282,243.9257,267.2079,246.3768
7191.696410545941,0.003668816920398143,99.1912510630292,155.08098581865232,333.9321301187522,7172.5624043282705,7.464636915062071,101.1595174224313,0.41592711838894336,0.8952601939019111,-0.15973045233574704,30886,1999-025AXY,0.0077,9.901487006738307,785.0,837.0,2026-08-31T22:49:53.561568,1.04868563,14.24288011,0.00361804,99.1948,153.9797,9.3041,350.8798
7183.782165468471,0.005905465028088539,98.92837055105063,331.32520856689155,204.28188062482843,7178.0798916032345,7.45481792338267,100.99257887261221,-0.4740234058102816,-0.8667265461213888,-0.1551995650525779,30915,1999-025AZD,0.0091,10.764051215546115,764.0,841.0,2026-09-01T11:16:10.434144,0.53043479,14.26764492,0.00534015,98.9321,330.7883,127.5471,233.0577
7111.451623450742,0.0029803952748331084,98.8952517080913,34.04356634073793,136.74082200288154,7090.689385659878,7.508578159472007,99.47114570837773,0.5530899523637384,-0.8186461558043178,-0.15462851024662358,30925,1999-025AZP,0.0081,10.155412503859612,712.0,759.0,2026-08-31T21:30:56.390400,1.1035139999999999,14.46938232,0.00327384,98.8956,32.8792,173.0246,338.9409
7166.100538369646,0.004526103127005592,98.91260154342572,188.37787990335238,126.74054442749089,7186.984396539694,7.436383697740238,100.6199449685484,-0.14394186887437485,0.9773833201755807,-0.15492767289128967,30932,1999-025AZW,0.0055,8.368283871884003,755.0,831.0,2026-09-01T01:33:58.667904,0.9347376399999999,14.29503393,0.0053068,98.911,187.4167,252.0507,107.4884
7184.410509688418,0.0027299307991648027,98.55947016193521,274.00099644054995,235.15439028643576,7165.078583366013,7.468646899020148,101.0058294464743,-0.9864518941374018,-0.06899667555114927,-0.14883588047114824,30936,1999-025BAA,0.0112,11.941642642883693,780.0,845.0,2026-09-01T15:03:00.767808,0.37290777999999997,14.2388173,0.00453918,98.5576,273.6432,244.5804,240.1473
7236.999128457723,0.004709445526549834,98.63519048777705,238.99145372086983,127.47707956926394,7262.5435912392595,7.395315224542876,102.11687373599956,-0.8473747914170741,0.5093261850012757,-0.1501425993611296,30940,1999-025BAE,0.01,11.283791670955127,835.0,893.0,2026-08-29T22:14:08.473344,3.07351304,14.08651808,0.004072,98.6338,236.0434,347.0523,42.5721
7132.901852232269,0.004677487088468628,99.70303352143513,232.91631789403,216.70785946506595,7117.620985297603,7.4914546936715425,99.92153623799027,-0.7863434342002605,0.5943548969847657,-0.16854156733687115,30959,1999-025BAZ,0.0086,10.464157913908984,721.0,789.0,2026-09-01T04:40:12.756576,0.80540791,14.41045718,0.00481687,99.7048,232.0092,168.0777,192.156
7142.675479635155,0.004492129171826306,98.22664995116129,281.69550063351426,203.05996797874664,7128.904985952793,7.484722679484412,100.12697793881456,-0.9691621531230505,-0.200624463586184,-0.14308929227810402,30978,1999-025BBU,0.0077,9.901487006738307,732.0,790.0,2026-08-31T08:41:08.637792,1.63809447,14.39193266,0.0040566,98.2303,280.127,150.6664,209.6814
7236.763453877856,0.0026812776484442936,98.69449024616704,250.54458959283915,187.93366613048232,7224.930160300683,7.433731017537579,102.11188558657008,-0.9320655712784419,0.32924562720574413,-0.15116576266895873,30994,1999-025BCL,0.0074,9.706684619910243,840.0,866.0,2026-09-01T23:06:52.041312,0.03689767,14.11907747,0.0018378,98.6997,250.5103,146.1599,214.075
7198.457346155996,0.005542579399152203,99.02536131040472,340.8454551123485,107.16193530305696,7160.143326370195,7.481018662770386,101.30220149749714,-0.3240549097913536,-0.932941426075529,-0.15687163845729385,31018,1999-025BDL,0.0112,11.941642642883693,788.0,873.0,2026-09-01T16:43:43.504320,0.3029687,14.18455866,0.00587061,99.0207,340.5343,98.0259,262.7582
7181.844936160136,0.003642521227092617,98.7457556416595,310.8776536030585,304.5972625665784,7197.664734284651,7.4335151827522825,100.95173007135148,-0.7473173270140085,-0.6468365779527576,-0.1520501699012644,31030,1999-025BDY,0.0057,8.51907589177983,790.0,829.0,2026-09-01T10:50:03.315264,0.54857274,14.24625124,0.00272995,98.7438,310.3264,44.5993,328.5309
